Akateko
Amuzgo,"Oaxaca. Usado por: Tzjonnon, tzo'tyio, tzañcue"
Awakateko,"Originarios de Aguacatán, Huehuetenango, Guatemala"
Ayapaneco
Chatino,"sur de Oaxaca. Usado por Kitsecha'tnio, cha'cña"
Chichimeco jonaz,"Municipio de San Luis de la Paz, Guanajuato. Usado por: Chichimecas jonaz, Chimeco, Meco; Uza, (plural: ezar)"
Chinanteco,Oaxaca. Usado por: Tsajujmí'
Chocholteco,"Oaxaca. Usado por: Chocho, Runixa ngiigua"
Ch'ol,norte de Chiapas. Usado por: Chol; Winik
Chontal de Oaxaca,Usado por: Chontal; Slijuala xanuc'
Chontal de Tabasco,"Usado por: Chontal; Yokot'anob, yokot'an,fane"
Chuj,"Originarios de los Altos Cuchumatanes, Huehuetenango, Guatemala"
Cora,"Nayarit. Usado por: Nayeri, nayeeri"
Cucapá,"Se autonombran es-pei, viven en Mexicali y Ensenada, Baja California, y en Sonora; mientras que sus parientes cocopah viven sobre todo en Somerton, Arizona. Usado por: Es'pei, Es'pel"
Cuicateco,Usado por: Nduuduyo
Guarijío,"sureste de Sonora. Usado por: Makurawe, macoragüi, warijo, varojio"
Huasteco,Usado por: Teenek. Incluye: Huasteco de San Luis Potosí; Huasteco de Veracruz
Tarahumara,"Usado por: Raramuri, Rarámuris"
Huave,Oaxaca. Usado por: Meroikook
Huichol,"Jalisco, Nayarit, Zacatecas y Durango. Usado por: Wirraritari, wixarika"
Ixcateco
Ixil,"Originarios de los Altos Cuchumatanes, Huehuetenango, Guatemala"
Jakalteko,"Originarios de los Altos Cuchumatanes, Huehuetenango, Guatemala. Usado por: Jacalteco, Abxubal"
K’iche’,"Originarios de Totonicapán, Chimaltenango, Sololá y Sacatepéquez, y sectores de El Quiché, Quetzaltenango, Suchitépequez y Baja Verapaz en Guatemala. Usado por: Quiché"
Kaqchikel,"Originarios de Totonicapán, Chimaltenango, Sololá y Sacatepéquez, y sectores de El Quiché, Quetzaltenango, Suchitépequez y Baja Verapaz en Guatemala. Usado por: Cakchiquel"
Kickapoo,"Coahuila. Usado por: Kikapú, Kikapúes, Chikapw, kikapooa"
Kiliwa,"Usado por: Chikapw, kikapooa"
Ku’ahl,"Baja California, Ensenada, comunidad indígena de Santa Catarina, El Aguajito (Mat Chip) [Rancho Matchip], Rancho Escondido, Rancho Wikualpuk (El Ranchito)"
Kumiai,"Usado por: Ti'pai, kamia"
Lacandón,"Chiapas. Usado por: Hach winik, hachtan"
Mam,"Campeche, Quintana Roo y Chiapas. Originarios de los Altos Cuchumatanes, Huehuetenango, Guatemala . Usado por: Mame, Qyool"
Matlatzinca,"Estado de México. Usado por: Botuna, matlatzinka"
Maya,"Quintana Roo, Campeche y Yucatán"
Mayo,Sonora y Sinaloa. Usado por: Yoreme
Mazahua,"Habitan en parte noroeste del Estado de México y en una pequeña área del oriente del estado de Michoacán. Usado por: Jnatio, mazahuas"
Mazateco,Oaxaca. Usado por: Hashutaenima
Me´phaa,Pueblo que habita entre la vertiente de la Sierra Madre del Sur y la costa del estado de Guerrero. Usado por: Tlapaneco
Mestizo
Mixe,"norte de Oaxaca. Usado por: Ayuukjä'äy, ayuuk, ayook"
Mixteco,"Guerrero, Puebla y Oaxaca. Usado por: Nuusavi"
Náhuatl
Otro origen étnico
Oluteco,"Usado por: Popoluca, Popolucas, homshuk. Ver también: Popoluca de la Sierra, Sayulteco y Texistepequeño"
Otomí,"Incluye: Otomíes del Estado de México, Otomíes del Valle del Mezquital. Usado por: Hñahñu, hñä hñü"
Paipai
Pame,"Incluye: Pames de Querétaro, Pames de San Luis Potosí. Usado por: Xi'ui"
Pápago,"Sonora y Arizona. Tres divisiones principales: los hia'ched o'otham (areneños o gente de la arena); los akimel o'otham (gente del río), también conocidos como pimas gileños; y los tohono o'otham (gente del desierto). Usado por: Tohonoo'tham"
Pima,"Usado por: O'oob, Otam"
Popoloca
Popoluca de la Sierra,"Veracruz. Usado por: Popoluca. Ver también: Oluteco, Sayulteco y Texistepequeño"
Q’anjob’al,"Originarios de los Altos Cuchumatanes, Huehuetenango, Guatemala. Usado por: Kanjobal"
Q’eqchí’,"Originarios de Alta Verapaz, Guatemala. Usado por: Kekchi, Kekchí"
Qato’k,"Usado por: Mocho, Mochó, Motozintleco y Motocintleco"
Sayulteco,"Usado por: Popoluca y Popoluca de Oluta. Ver también: Oluteco, Popoluca de la Sierra y Texistepequeño"
Seri,"Usado por: Konkaak, conca'ac, Konkaak"
Tarasco,Usado por: Purépecha
Teko,"Usado por: Teco, tectitecos"
Tepehua,Usado por: Hamasipine
Tepehuano del norte,Usado por: Odami
Tepehuano del sur,Usado por: O'dam
Texistepequeño,"Usado por: Popoluca, Popoluca de Texistepec. Ver también: Oluteco, Popoluca de la Sierra y Sayulteco"
Tlahuica,Usado por: Ocuilteco
Tojolabal,Usado por: Tojolwinik'otik
Totonaco,"Usado por: Totonaca, Tachihuiin, totonaco (tu'tu nacu')"
Triqui,"Usado por: Triquis, driquis, Tinujei, driki"
Tseltal,"Usado por Tzeltal, Winikatel, k'op"
Tsotsil,"Incorrectamente, a veces se les llama “Chamulas” por ser los tsotsiles de Chamula los más conocidos (CDHFBC). Usado por: Tzotzil, Batsil winik'otik, batzilk'op"
Yaqui,Usado por: Yoremes
Zapoteco,"Incluye: Zapotecos del Istmo de Tehuantepec, Sierra Norte de Oaxaca, Valles Centrales, Oaxaca "
Zoque,Usado por: O'<depüt></depüt>
