Cónyuge|Aplica cuando estén casados por lo civil
Pareja|Aplica cuando no estén casados por lo civil, por ejemplo cuando si estén casados por la iglesia, estén en unión libre o en sociedad de convivencia
Hermano(a)|
Padre / Madre|
Hijo(a)|
Otro(a) pariente cercano(a)|
Pariente lejano(a)|
Novio(a)|
Amigo(a)|
Compañero(a) de estudios|
Maestro(a)|
Estudiante|
Persona que habita en la misma casa o edificio|
Vecino(a)|
Persona que vive en la misma comunidad|
Compañero(a) de trabajo|
"Patrón(a), jefe(a) o superior(a)"|
Empleado(a) o subordinado(a)|
Compañero(a) en una organización|
Cliente(a) o receptor(a) de servicio|
Proveedor(a) de servicio|
